Name,Age,Gender,Education_Level,Field_of_Study,Degrees,Institute_Name,Graduation_Year,Experience_Years,Current_Job_Title,Previous_Job_Titles,Skills,Certifications,Target_Job_Description
Aadhya Chen,21,Male,High School,Information Technology,High School in Information Technology,Indian Institute of Technology Bombay,2024,0,None,None,"Solidity, Scrum, Deep Learning, Statistics","Certified Kubernetes Administrator, AWS Certified Solutions Architect",Targeting a MLOps Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Jessica Brown,40,Non-Binary,Bachelor's,Information Technology,Bachelor's in Information Technology,University of Pennsylvania,2019,5,Prompt Engineer,DevOps Engineer,"Azure, Microservices, Jenkins, TensorFlow, AWS, Ansible, Computer Vision, Statistics","Project Management Professional, Google Cloud Professional, Oracle Certified Professional","Seeking a Cybersecurity Analyst position to protect organizational assets by implementing security measures, conducting vulnerability assessments, and responding to security incidents."
Lucas Zhou,22,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,Yale University,2016,0,None,None,"TensorFlow, Solidity, Node.js, Network Security, PyTorch, REST APIs",Project Management Professional,Looking for an opportunity as a Blockchain Engineer to leverage my expertise in computer science and make a meaningful impact in the industry.
Noah Venkatesh,41,Male,PhD,Robotics,PhD in Robotics,Indian Institute of Technology Delhi,2015,4,Blockchain Engineer,Full-Stack Developer,"JavaScript, Node.js, Jenkins, Computer Vision","AWS Certified Solutions Architect, TensorFlow Developer Certificate, Microsoft Azure Fundamentals",Targeting a Blockchain Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Aadhya Nair,43,Female,Master's,Artificial Intelligence,"Master's in Artificial Intelligence, Bachelor's in Information Systems",Mumbai University,2016,4,Cybersecurity Analyst,None,"Deep Learning, Python, Microservices, Penetration Testing, AWS, Scrum, Agile, Git","AWS Certified Solutions Architect, Project Management Professional, CompTIA Security+","Targeting a Cybersecurity Analyst role to contribute to the development and maintenance of robust security frameworks, policies, and procedures."
Abhinav Hernandez,42,Male,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,Amity University,2022,2,Cloud Engineer,None,"Network Security, SQL, Solidity, PyTorch, Azure, JavaScript",AWS Certified Solutions Architect,"Looking for a Cloud Engineer role where I can architect cloud solutions, automate deployments, and optimize cloud resources for performance and cost-efficiency."
Aarav Singh,31,Male,Bachelor's,Robotics,Bachelor's in Robotics,Indian Institute of Science,2017,0,None,None,"AWS, Machine Learning, DevOps, Cybersecurity, Terraform, Docker, Deep Learning",None,"Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports."
Karan Singh,28,Non-Binary,Master's,Computer Science,Master's in Computer Science,University of California Berkeley,2016,9,DevOps Engineer,Site Reliability Engineer,"Git, MongoDB, Cybersecurity, Kubernetes",None,"Looking for a DevOps Engineer position where I can streamline software deployment processes, improve system reliability, and foster a culture of continuous integration and delivery."
Joshua Chen,33,Female,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,National Institute of Technology Trichy,2020,3,Software Developer,None,"Azure, Linux, Machine Learning, JavaScript, TensorFlow, Agile, Node.js, AWS","Microsoft Azure Fundamentals, Certified Ethical Hacker",Seeking a challenging role as a Software Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Ananya Lee,40,Female,Master's,Computer Science,Master's in Computer Science,Columbia University,2017,4,AI Ethics Officer,Product Manager,"Python, TensorFlow, SQL, Kafka","Certified Ethical Hacker, CompTIA Security+",Seeking a challenging role as a AI Ethics Officer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Karan Wang,22,Non-Binary,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Carnegie Mellon University,2023,2,Cloud Architect,None,"Git, Scrum, GraphQL, Python",Certified Kubernetes Administrator,Targeting a Cloud Architect position to utilize my educational background and experience to drive results and achieve career objectives.
Sneha Jones,35,Non-Binary,Master's,Computer Engineering,Master's in Computer Engineering,Stanford University,2025,0,None,None,"AWS, Docker, Penetration Testing, Network Security, TensorFlow",Project Management Professional,"Seeking a Data Scientist role to apply statistical analysis, machine learning, and data visualization techniques to extract meaningful insights from complex datasets and drive data-driven decision making."
Harper Miller,31,Non-Binary,PhD,Machine Learning,PhD in Machine Learning,Carnegie Mellon University,2016,7,Data Scientist,"Site Reliability Engineer, Software Engineer","React, Terraform, TensorFlow, Kubernetes",None,"Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling."
Christopher Wilson,28,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,University of Pennsylvania,2017,2,Product Manager,None,"PyTorch, Microservices, Deep Learning, Node.js, Penetration Testing, Network Security, React","Microsoft Azure Fundamentals, Certified Kubernetes Administrator, Scrum Master Certified","Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products."
Sarah Taylor,29,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,National Institute of Technology Trichy,2025,0,None,None,"React, Data Analysis, Azure, AWS, Cybersecurity, Terraform, GraphQL, Kubernetes","Certified Kubernetes Administrator, Cisco Certified Network Associate",Seeking a challenging role as a Frontend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Meera Pillai,28,Male,Bachelor's,Information Systems,Bachelor's in Information Systems,Delhi University,2021,4,Software Developer,None,"Kafka, Penetration Testing, Cybersecurity, Data Analysis, Python","CompTIA Security+, Certified Kubernetes Administrator, Oracle Certified Professional",Looking for an opportunity as a AI Ethics Officer to leverage my expertise in information systems and make a meaningful impact in the industry.
Abhinav Singh,36,Non-Binary,Master's,Computer Science,"Master's in Computer Science, Bachelor's in Electronics Engineering",Harvard University,2015,4,Site Reliability Engineer,Software Developer,"REST APIs, Penetration Testing, MongoDB, Solidity, Network Security, Natural Language Processing, SQL, Python","Certified Kubernetes Administrator, Microsoft Azure Fundamentals, Certified Information Systems Security Professional",Targeting a Site Reliability Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Aryan Verma,35,Female,Master's,Robotics,"Master's in Robotics, Bachelor's in Computer Engineering",Manipal Institute of Technology,2025,0,None,None,"CI/CD, Cybersecurity, Python, Node.js, Microservices","Google Data Analytics Professional, AWS Certified Solutions Architect",Looking for an opportunity as a Full-Stack Developer to leverage my expertise in robotics and make a meaningful impact in the industry.
Joshua Kumar,37,Non-Binary,Bachelor's,Computer Science,Bachelor's in Computer Science,Mumbai University,2018,7,Software Developer,Product Manager,"CI/CD, Cybersecurity, JavaScript, Spark, Ansible, TensorFlow, Node.js",Microsoft Azure Fundamentals,"Looking for a Cloud Engineer role where I can architect cloud solutions, automate deployments, and optimize cloud resources for performance and cost-efficiency."
Benjamin Davis,37,Non-Binary,Bachelor's,Computer Science,Bachelor's in Computer Science,University of Cambridge,2022,0,None,None,"Scrum, Solidity, Network Security, Cloud Computing, DevOps, AWS","CompTIA Security+, Google Data Analytics Professional, Project Management Professional","Seeking a Cybersecurity Analyst position to protect organizational assets by implementing security measures, conducting vulnerability assessments, and responding to security incidents."
Evelyn Gupta,23,Female,PhD,Computer Engineering,PhD in Computer Engineering,Indian Institute of Technology Bombay,2019,5,Cybersecurity Analyst,None,"Kubernetes, Data Analysis, AWS, Docker","Microsoft Azure Fundamentals, Certified Kubernetes Administrator, Google Data Analytics Professional","Looking to join a cybersecurity team as an Analyst where I can apply my knowledge of network security, threat detection, and incident response to safeguard digital infrastructure."
Benjamin Martin,35,Non-Binary,Master's,Computer Engineering,Master's in Computer Engineering,Delhi University,2022,3,Software Engineer,None,"Java, Deep Learning, DevOps, Agile","Scrum Master Certified, Certified Information Systems Security Professional, Project Management Professional","Looking for a Software Engineer role where I can contribute to full-stack development, write clean and maintainable code, and collaborate with cross-functional teams."
Emma Miller,28,Female,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,University of Washington,2017,0,None,None,"Scrum, Statistics, Cybersecurity, Kubernetes, Terraform","Microsoft Azure Fundamentals, Oracle Certified Professional","Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports."
Meera Bansal,35,Female,Bachelor's,Data Science,Bachelor's in Data Science,Technical University of Munich,2016,6,Machine Learning Engineer,"Prompt Engineer, AI Engineer","Linux, Scrum, Docker, CI/CD","Google Data Analytics Professional, Microsoft Azure Fundamentals, Oracle Certified Professional",Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Kavya Nair,31,Non-Binary,Master's,Machine Learning,Master's in Machine Learning,All India Institute of Medical Sciences,2024,1,UI/UX Designer,None,"Docker, Jenkins, Solidity, Agile, AWS, Penetration Testing, JavaScript, Azure",None,Looking for a UI/UX Designer position where I can combine creativity with analytical thinking to design user-centered interfaces that solve real problems.
Aditi Subramanian,41,Male,Master's,Data Science,Master's in Data Science,Stanford University,2025,0,None,None,"Java, SQL, Terraform, Solidity, Cloud Computing","Certified Kubernetes Administrator, TensorFlow Developer Certificate, Certified Information Systems Security Professional",Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Matthew Jackson,32,Female,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,National Institute of Technology Trichy,2021,3,Big Data Engineer,None,"Git, Solidity, Ansible, SQL, Machine Learning, Kafka","Oracle Certified Professional, TensorFlow Developer Certificate, Cisco Certified Network Associate",Seeking a challenging role as a Big Data Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Noah Martinez,36,Non-Binary,Certificate,Information Technology,Certificate in Information Technology,Birla Institute of Technology,2021,3,Software Developer,None,"SQL, Python, GraphQL, Data Analysis, Jenkins, TensorFlow, Cybersecurity",Certified Kubernetes Administrator,Looking for an opportunity as a Software Developer to leverage my expertise in information technology and make a meaningful impact in the industry.
Rahul Pillai,44,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,Indian Institute of Technology Bombay,2016,7,Cybersecurity Analyst,"Software Developer, AI Ethics Officer","Git, Penetration Testing, AWS, Statistics, GraphQL, TensorFlow","CompTIA Security+, Project Management Professional, Certified Kubernetes Administrator",Targeting a Machine Learning Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Harper Miller,41,Non-Binary,Master's,Robotics,Master's in Robotics,Georgia Institute of Technology,2020,2,Cloud Engineer,None,"Cloud Computing, Jenkins, Java, Computer Vision, Kubernetes, React",Certified Information Systems Security Professional,"Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications."
Benjamin Kumar,30,Female,Master's,Information Technology,Master's in Information Technology,University of Oxford,2025,0,None,None,"TensorFlow, MongoDB, Spark, Kubernetes, Terraform","Certified Information Systems Security Professional, Project Management Professional",Looking for an opportunity as a MLOps Specialist to leverage my expertise in information technology and make a meaningful impact in the industry.
Ananya Menon,39,Female,PhD,Computer Science,"PhD in Computer Science, Bachelor's in Data Science",Carnegie Mellon University,2021,0,None,None,"Statistics, CI/CD, Network Security, GraphQL, Agile, Kubernetes, MongoDB, Machine Learning",Google Data Analytics Professional,Seeking a challenging role as a Machine Learning Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Arjun Verma,36,Female,Bachelor's,Cybersecurity,Bachelor's in Cybersecurity,University of Washington,2018,3,Machine Learning Engineer,None,"Spark, DevOps, Agile, TensorFlow, Git, Java, AWS",Microsoft Azure Fundamentals,Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.
Ashley Wu,24,Male,High School,Machine Learning,High School in Machine Learning,Columbia University,2016,0,None,None,"PyTorch, MongoDB, JavaScript, Cloud Computing",None,Seeking a challenging role as a Site Reliability Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Mason Park,21,Male,Master's,Electrical Engineering,Master's in Electrical Engineering,Amity University,2023,0,None,None,"PyTorch, TensorFlow, Scrum, Java, SQL, Docker, Data Analysis, Jenkins","Microsoft Azure Fundamentals, Google Data Analytics Professional",Targeting a Software Engineer position to work on challenging technical problems and build innovative applications that deliver value to users.
Samantha Sharma,37,Male,Master's,Computer Engineering,"Master's in Computer Engineering, Bachelor's in Cybersecurity",Pune University,2021,1,DevOps Engineer,None,"Python, MongoDB, Machine Learning, Cloud Computing, Penetration Testing, CI/CD, TensorFlow, Solidity",None,"Looking for a DevOps Engineer position where I can streamline software deployment processes, improve system reliability, and foster a culture of continuous integration and delivery."
Ankit White,24,Non-Binary,Bachelor's,Cybersecurity,Bachelor's in Cybersecurity,Technical University of Munich,2025,0,None,None,"Ansible, JavaScript, SQL, Linux, Network Security, AWS","Cisco Certified Network Associate, TensorFlow Developer Certificate, Scrum Master Certified",Looking for an opportunity as a Frontend Developer to leverage my expertise in cybersecurity and make a meaningful impact in the industry.
Sophia Pillai,34,Female,Certificate,Artificial Intelligence,Certificate in Artificial Intelligence,London School of Economics,2023,0,None,None,"Penetration Testing, CI/CD, TensorFlow, Python","Project Management Professional, Google Cloud Professional, Certified Ethical Hacker","Seeking a Software Engineer position to develop high-quality, scalable software solutions using modern programming languages and development methodologies."
Arya Moore,33,Non-Binary,Master's,Information Technology,Master's in Information Technology,University of Oxford,2024,1,DevOps Engineer,None,"CI/CD, PyTorch, Agile, Spark","Google Cloud Professional, Certified Kubernetes Administrator, Certified Ethical Hacker","Targeting a DevOps Engineer role to work with containerization technologies, configuration management tools, and cloud platforms to optimize software delivery."
Diya Moore,36,Non-Binary,Bachelor's,Machine Learning,Bachelor's in Machine Learning,University of California Berkeley,2015,7,Cloud Engineer,Full-Stack Developer,"Computer Vision, Network Security, Deep Learning, Azure",None,"Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications."
Christopher Wilson,25,Female,Master's,Information Technology,Master's in Information Technology,Indian Institute of Science,2021,0,None,None,"Network Security, Cybersecurity, PyTorch, Statistics, Spark, Terraform, Cloud Computing, Computer Vision","Oracle Certified Professional, Google Data Analytics Professional","Looking to join a cybersecurity team as an Analyst where I can apply my knowledge of network security, threat detection, and incident response to safeguard digital infrastructure."
Ethan Wilson,33,Female,Master's,Computer Science,Master's in Computer Science,Yale University,2025,0,None,None,"Git, Kubernetes, Network Security, Blockchain, Azure, Spark, Microservices, Jenkins",None,"Targeting a DevOps Engineer role to work with containerization technologies, configuration management tools, and cloud platforms to optimize software delivery."
Meera Reddy,36,Non-Binary,PhD,Information Systems,PhD in Information Systems,Georgia Institute of Technology,2020,5,Data Scientist,"Prompt Engineer, Full-Stack Developer","Computer Vision, Network Security, Microservices, Scrum, Statistics, Linux, React",None,"Seeking a Data Scientist role to apply statistical analysis, machine learning, and data visualization techniques to extract meaningful insights from complex datasets and drive data-driven decision making."
Harper Taylor,32,Female,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,National Institute of Technology Trichy,2015,0,None,None,"Natural Language Processing, Git, Kafka, SQL, Node.js","Google Cloud Professional, Certified Information Systems Security Professional","Looking for a Product Manager role where I can leverage market research, user feedback, and data analysis to guide product development decisions."
Jessica Jackson,39,Non-Binary,PhD,Computer Engineering,"PhD in Computer Engineering, Bachelor's in Machine Learning",Mumbai University,2017,5,Software Engineer,Cybersecurity Engineer,"Kafka, Java, Linux, Microservices, Ansible, Jenkins, MongoDB","Google Cloud Professional, CompTIA Security+, Project Management Professional","Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems."
Kavya Brown,30,Female,High School,Electrical Engineering,High School in Electrical Engineering,Columbia University,2021,0,None,None,"SQL, Kafka, MongoDB, Agile, Data Analysis",None,Targeting a Full-Stack Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Mason Nair,30,Female,Master's,Cybersecurity,"Master's in Cybersecurity, Bachelor's in Electronics Engineering",Christian Medical College,2024,0,None,None,"REST APIs, Computer Vision, Cloud Computing, Cybersecurity, TensorFlow, Java, Terraform","Certified Kubernetes Administrator, Project Management Professional, TensorFlow Developer Certificate",Targeting a Software Engineer position to work on challenging technical problems and build innovative applications that deliver value to users.
Olivia Thomas,35,Male,Bachelor's,Robotics,Bachelor's in Robotics,National Institute of Technology Trichy,2019,1,Backend Developer,None,"Blockchain, GraphQL, Linux, Node.js, Machine Learning, Kafka","Cisco Certified Network Associate, Project Management Professional",Seeking a challenging role as a Backend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Arya Williams,21,Male,Master's,Computer Engineering,Master's in Computer Engineering,Birla Institute of Technology,2025,0,None,None,"Ansible, Blockchain, Kafka, JavaScript, PyTorch, Kubernetes, Data Analysis",AWS Certified Solutions Architect,Targeting a Mobile Applications Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Rahul Verma,22,Male,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,University of Toronto,2022,1,Cybersecurity Analyst,None,"CI/CD, SQL, REST APIs, Azure, Natural Language Processing, AWS, Cloud Computing",None,"Looking to join a cybersecurity team as an Analyst where I can apply my knowledge of network security, threat detection, and incident response to safeguard digital infrastructure."
Emily Srinivasan,44,Female,PhD,Robotics,PhD in Robotics,Chennai University,2016,6,Product Manager,Blockchain Engineer,"Machine Learning, Docker, MongoDB, TensorFlow, Spark, Data Analysis, Solidity","Cisco Certified Network Associate, Scrum Master Certified, AWS Certified Solutions Architect","Seeking a Product Manager position to drive product strategy, define roadmaps, and collaborate with engineering and design teams to deliver successful products."
Charlotte Reddy,43,Female,PhD,Computer Science,PhD in Computer Science,All India Institute of Medical Sciences,2019,6,UI/UX Designer,DevOps Engineer,"JavaScript, React, Natural Language Processing, Computer Vision, Microservices, Git, CI/CD, AWS",TensorFlow Developer Certificate,Looking for an opportunity as a Cybersecurity Engineer to leverage my expertise in computer science and make a meaningful impact in the industry.
Sarah Wilson,45,Non-Binary,Bachelor's,Computer Science,Bachelor's in Computer Science,Massachusetts Institute of Technology,2020,5,Prompt Engineer,Frontend Developer,"Network Security, Penetration Testing, GraphQL, Agile","Google Cloud Professional, Microsoft Azure Fundamentals, Cisco Certified Network Associate",Seeking a challenging role as a Blockchain Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Samantha Kumar,41,Non-Binary,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Carnegie Mellon University,2017,2,Backend Developer,None,"Python, REST APIs, PyTorch, Git, Linux",None,Looking for an opportunity as a Cybersecurity Engineer to leverage my expertise in machine learning and make a meaningful impact in the industry.
James Thompson,36,Non-Binary,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Indian Institute of Technology Bombay,2023,2,Backend Developer,None,"Linux, Statistics, PyTorch, SQL, GraphQL, CI/CD, TensorFlow, REST APIs","Scrum Master Certified, Certified Kubernetes Administrator, AWS Certified Solutions Architect",Seeking a challenging role as a Backend Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Evelyn Williams,29,Non-Binary,PhD,Computer Science,PhD in Computer Science,SRM Institute of Science and Technology,2018,4,Full-Stack Developer,None,"Blockchain, Computer Vision, Docker, SQL, CI/CD, Kubernetes, AWS, Python","Oracle Certified Professional, TensorFlow Developer Certificate, Project Management Professional",Seeking a challenging role as a Full-Stack Developer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Harper Brown,40,Male,Certificate,Computer Engineering,Certificate in Computer Engineering,London School of Economics,2018,7,Backend Developer,"Machine Learning Engineer, Prompt Engineer, Frontend Developer","GraphQL, TensorFlow, Docker, Java, Statistics","Certified Kubernetes Administrator, Scrum Master Certified",Looking for an opportunity as a Backend Developer to leverage my expertise in computer engineering and make a meaningful impact in the industry.
Christopher Brown,43,Female,Master's,Robotics,Master's in Robotics,Indian Institute of Science,2015,9,Cloud Architect,"Backend Developer, Big Data Engineer, Machine Learning Engineer","Node.js, MongoDB, Ansible, React, Jenkins, Agile",TensorFlow Developer Certificate,Targeting a Cloud Architect position to utilize my educational background and experience to drive results and achieve career objectives.
Abhinav Srinivasan,26,Female,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Delhi University,2015,7,Blockchain Engineer,"Site Reliability Engineer, UI/UX Designer","Azure, SQL, Linux, DevOps, Blockchain, Docker, Computer Vision",None,Looking for an opportunity as a Prompt Engineer to leverage my expertise in machine learning and make a meaningful impact in the industry.
Karan Wu,29,Non-Binary,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Indian Institute of Science,2022,3,Prompt Engineer,Data Scientist,"Docker, Ansible, Solidity, React, PyTorch, Spark, Kafka",Microsoft Azure Fundamentals,Looking for an opportunity as a Prompt Engineer to leverage my expertise in software engineering and make a meaningful impact in the industry.
Benjamin Liu,38,Female,Master's,Information Technology,Master's in Information Technology,University of Oxford,2024,0,None,None,"Scrum, SQL, Machine Learning, Statistics",Microsoft Azure Fundamentals,Targeting a Machine Learning Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Aadhya Iyer,45,Non-Binary,Bachelor's,Information Technology,Bachelor's in Information Technology,Delhi University,2017,0,None,None,"MongoDB, Agile, Java, Statistics, AWS, REST APIs, CI/CD",None,"Looking for a Product Manager role where I can leverage market research, user feedback, and data analysis to guide product development decisions."
Matthew Park,36,Female,Master's,Computer Engineering,Master's in Computer Engineering,University of Cambridge,2020,5,Cloud Architect,"Full-Stack Developer, Cybersecurity Analyst","Agile, JavaScript, Solidity, Linux",Certified Kubernetes Administrator,Looking for an opportunity as a Cloud Architect to leverage my expertise in computer engineering and make a meaningful impact in the industry.
Ava Johnson,28,Female,Bachelor's,Data Science,Bachelor's in Data Science,Georgia Institute of Technology,2020,2,DevOps Engineer,None,"REST APIs, Statistics, Docker, AWS, Git, Network Security, Blockchain","Project Management Professional, Scrum Master Certified","Looking for a DevOps Engineer position where I can streamline software deployment processes, improve system reliability, and foster a culture of continuous integration and delivery."
Ethan Hernandez,36,Female,Master's,Artificial Intelligence,"Master's in Artificial Intelligence, Bachelor's in Electronics Engineering",University of Washington,2022,0,None,None,"CI/CD, TensorFlow, Blockchain, Jenkins, SQL, JavaScript, Cloud Computing","TensorFlow Developer Certificate, Project Management Professional","Looking to join a cybersecurity team as an Analyst where I can apply my knowledge of network security, threat detection, and incident response to safeguard digital infrastructure."
Evelyn Jackson,23,Female,Bachelor's,Software Engineering,Bachelor's in Software Engineering,University of California Berkeley,2023,0,None,None,"Natural Language Processing, DevOps, Blockchain, Statistics, React, Node.js",None,Looking for an opportunity as a Backend Developer to leverage my expertise in software engineering and make a meaningful impact in the industry.
Jessica Zhang,39,Female,Bachelor's,Electrical Engineering,Bachelor's in Electrical Engineering,University of Pennsylvania,2025,0,None,None,"Java, AWS, Cybersecurity, TensorFlow, Ansible, REST APIs, JavaScript, SQL","CompTIA Security+, Cisco Certified Network Associate, Certified Information Systems Security Professional","Looking to join a cybersecurity team as an Analyst where I can apply my knowledge of network security, threat detection, and incident response to safeguard digital infrastructure."
Emily Johnson,27,Male,Bachelor's,Electrical Engineering,Bachelor's in Electrical Engineering,Columbia University,2022,3,Blockchain Engineer,Frontend Developer,"Blockchain, Terraform, Java, Python","Google Cloud Professional, AWS Certified Solutions Architect, Microsoft Azure Fundamentals",Targeting a Blockchain Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Ashley Chen,33,Female,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Amity University,2021,4,AI Engineer,Mobile Applications Developer,"AWS, Java, PyTorch, Machine Learning, Penetration Testing",Project Management Professional,"Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems."
Priya Jackson,21,Male,Bachelor's,Software Engineering,Bachelor's in Software Engineering,University of California Berkeley,2025,0,None,None,"Network Security, Penetration Testing, Java, Solidity, Natural Language Processing, PyTorch, Statistics","AWS Certified Solutions Architect, Certified Information Systems Security Professional, Oracle Certified Professional",Looking for an opportunity as a Frontend Developer to leverage my expertise in software engineering and make a meaningful impact in the industry.
Michael Rao,44,Non-Binary,Master's,Information Systems,Master's in Information Systems,Christian Medical College,2024,0,None,None,"Network Security, REST APIs, Cloud Computing, Kafka","Certified Kubernetes Administrator, CompTIA Security+, AWS Certified Solutions Architect",Looking for a UI/UX Designer position where I can combine creativity with analytical thinking to design user-centered interfaces that solve real problems.
David Martin,36,Male,Master's,Electronics Engineering,Master's in Electronics Engineering,Mumbai University,2024,1,Big Data Engineer,None,"Blockchain, Java, Kubernetes, Statistics, PyTorch, Penetration Testing, Scrum","Certified Kubernetes Administrator, Google Data Analytics Professional, Oracle Certified Professional",Looking for an opportunity as a Big Data Engineer to leverage my expertise in electronics engineering and make a meaningful impact in the industry.
Amanda Liu,33,Female,PhD,Electronics Engineering,"PhD in Electronics Engineering, Bachelor's in Electrical Engineering",Yale University,2016,7,Cybersecurity Engineer,Quantum Computing Specialist,"Penetration Testing, Kubernetes, Machine Learning, Statistics, SQL, Spark",Microsoft Azure Fundamentals,Seeking a challenging role as a Cybersecurity Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Aarav Taylor,29,Female,Master's,Software Engineering,Master's in Software Engineering,Yale University,2019,6,MLOps Specialist,None,"Node.js, Agile, Blockchain, AWS",Google Cloud Professional,Targeting a MLOps Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Lucas Mittal,43,Non-Binary,Master's,Information Technology,Master's in Information Technology,Indian Institute of Science,2023,0,None,None,"Solidity, Cybersecurity, AWS, MongoDB",None,Targeting a Frontend Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Ankit Brown,32,Male,Master's,Robotics,Master's in Robotics,Columbia University,2020,1,Mobile Applications Developer,None,"Network Security, MongoDB, Docker, CI/CD, Agile, Azure, AWS, PyTorch","Certified Ethical Hacker, AWS Certified Solutions Architect, Certified Kubernetes Administrator",Looking for an opportunity as a Mobile Applications Developer to leverage my expertise in robotics and make a meaningful impact in the industry.
Matthew Wu,34,Female,Master's,Data Science,Master's in Data Science,Indian Institute of Technology Delhi,2023,0,None,None,"GraphQL, Deep Learning, Azure, Blockchain, Spark, Terraform, Cybersecurity, CI/CD",None,Looking for an opportunity as a Machine Learning Engineer to leverage my expertise in data science and make a meaningful impact in the industry.
James Moore,45,Male,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,Technical University of Munich,2020,0,None,None,"Jenkins, React, DevOps, Statistics, GraphQL","Project Management Professional, CompTIA Security+, Google Data Analytics Professional","Looking for an opportunity as a Data Scientist to work with large datasets, build predictive models, and communicate findings to stakeholders through compelling visualizations and reports."
Vikram Venkatesh,25,Non-Binary,Bachelor's,Electronics Engineering,Bachelor's in Electronics Engineering,University of Cambridge,2018,0,None,None,"Solidity, Scrum, REST APIs, PyTorch, Git, SQL, JavaScript, Agile","CompTIA Security+, Oracle Certified Professional, Microsoft Azure Fundamentals",Targeting a Software Engineer position to work on challenging technical problems and build innovative applications that deliver value to users.
Mason Iyer,31,Non-Binary,Bachelor's,Computer Science,Bachelor's in Computer Science,Bangalore University,2016,0,None,None,"Computer Vision, Natural Language Processing, Git, Blockchain, Cloud Computing, AWS, React, CI/CD","Project Management Professional, Google Data Analytics Professional",Targeting a Quantum Computing Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Ankit Thompson,30,Non-Binary,Master's,Machine Learning,Master's in Machine Learning,Georgia Institute of Technology,2021,1,Prompt Engineer,None,"Kafka, Jenkins, Terraform, Spark, Deep Learning","Cisco Certified Network Associate, Oracle Certified Professional",Targeting a Prompt Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Aryan Williams,45,Female,Master's,Software Engineering,"Master's in Software Engineering, Bachelor's in Electronics Engineering",All India Institute of Medical Sciences,2024,1,Software Developer,None,"GraphQL, SQL, Kafka, React, Blockchain, Azure, Penetration Testing",TensorFlow Developer Certificate,Looking for an opportunity as a Frontend Developer to leverage my expertise in software engineering and make a meaningful impact in the industry.
